period,n_obs,n_gauges,kge_raw,kge,kge_r_raw,kge_r,kge_beta_raw,kge_beta,kge_gamma_raw,kge_gamma,nse_raw,nse,lognse_raw,lognse,pbias_raw,pbias,d_kge,d_pbias_abs
1,1962,73,-0.31106888400766897,0.12597117315777728,0.2646741728787063,0.30585065583214555,0.66676718756942,0.9521260341126223,0.8595276037713474,0.6486224723614733,-8.198996161284214,-0.5558031073251835,-11.19448737750647,-0.6143643840697639,-33.32328124305799,-4.787396588737778,0.43704005716544625,28.535884654320213
2,1937,73,-0.2557699831804414,0.19254407247026017,0.32498713085185654,0.38666606781269974,0.6493742973016938,0.9788340877524163,0.895139321461325,0.554688140452791,-8.784050870271171,-0.21626343831400296,-15.831623483988523,-0.312905138973844,-35.06257026983063,-2.11659122475837,0.4483140556507016,32.945979045072264
3,1945,74,-0.025188685481340456,0.3366012422012966,0.37179978188877655,0.49856329878724137,0.607880200950428,1.0138075787486105,1.1329856679932302,0.782858617603502,-3.300614323300525,-0.1400360610707273,-6.180809018357711,-0.18449454491055983,-39.211979904957204,1.3807578748610574,0.36178992768263707,37.83122203009614
4,1942,74,0.2029494008594977,0.5721117022835359,0.6864098837452084,0.7248115780028784,0.566950772731432,0.985505558577257,0.9640999426275452,0.8237911292528504,-1.3330281825263102,0.3737362192454737,-3.006072899510812,0.24524563484703765,-43.3049227268568,-1.449444142274329,0.3691623014240382,41.85547858458247
5,1967,74,0.15540138465540415,0.5315508876701566,0.5890140620458317,0.6699449675570643,0.7335486498348875,0.985415964395877,1.059316014608069,0.8665063817852559,-1.6276664628499524,0.14842716833142683,-2.13704574658708,0.18028171074642146,-26.645135016511233,-1.4584035604123087,0.3761495030147524,25.186731456098926
6,1854,73,0.18245599554151715,0.5437542938533427,0.5952138097807358,0.6937248910694608,0.8751711294959074,0.9210439665548013,1.0710136450600718,1.0274992163617047,-1.702580012550119,0.20759944488203164,-1.6160376431339283,0.12449294035361247,-12.482887050409271,-7.895603344519881,0.3612982983118256,4.58728370588939
7,1903,74,0.1385147539339946,0.4779048149866202,0.6808052841855091,0.6561456517507186,1.09015096769141,0.959300461275221,1.0939770825020234,0.9577237282034163,-1.476219051435639,0.20421391366732772,-1.9235729712160774,0.21070834675049194,9.015096769141007,-4.069953872477914,0.3393900610526256,4.945142896663093
8,1955,74,0.09833857544667302,0.46233360990658173,0.6348299548239323,0.6393014724160222,1.004461832517754,0.915819918141155,1.1104674644913195,0.9005186627233457,-2.2942341009337657,0.07489687234714115,-2.71473969359462,0.046611365783990166,0.44618325177537543,-8.418008185884485,0.3639950344599087,-7.97182493410911
9,1978,74,0.1807178593565104,0.4513324998697027,0.5345077235380019,0.6547811793936513,0.9823234992270219,0.8596702369384683,1.0445101194652318,0.7884281837660235,-1.997554725367746,-0.11880798381613111,-2.201913942452221,-0.1315290262536014,-1.7676500772978256,-14.032976306153152,0.2706146405131923,-12.265326228855326
10,1966,73,0.004320447461481858,0.30404526221120853,0.4286208950782751,0.4607895225742834,0.9707309981007065,0.8812745368032822,1.2205133016211165,0.7994135950049902,-3.6569270050689875,-0.26749662604462876,-5.352598324181777,-0.285613997819949,-2.9269001899293365,-11.87254631967177,0.2997248147497267,-8.945646129742434
11,1997,73,-0.053666519334084395,0.2449665847169391,0.36165678327151196,0.44759043464286496,0.7107819527789576,0.9097885309174738,1.1478613146320737,0.6485380494801688,-4.345486350075965,-0.17031204443444925,-6.3906819446449195,-0.15035217860718753,-28.92180472210422,-9.021146908252588,0.2986331040510235,19.90065781385163
12,2014,73,-0.1589907178532599,0.16479607411481423,0.26520491385023415,0.374568699474104,0.6541723220597566,0.9253473990708485,1.0468911548780766,0.6657686140989023,-5.229004308627913,-0.41113346368432047,-11.911761567138461,-0.5171526304470841,-34.58276779402434,-7.465260092915139,0.32378679196807414,27.117507701109204
