series,kge2009,kge2009_r,kge2009_beta,kge2009_alpha,kge2012,kge2012_r,kge2012_beta,kge2012_gamma,skilful,highly_skilful,skill_class
raw_glofas,0.5415225603914506,0.8488579148644673,0.6997696956338463,0.6881997481221334,0.6634654005817229,0.8488579148644673,0.6997696956338463,0.9834660637865535,True,False,skilful
lgbm_corrected,0.9000989651985987,0.9679602289103924,0.9213722112774744,0.947356475578451,0.9105337377983784,0.9679602289103924,0.9213722112774744,1.0282017017476028,True,True,highly_skilful
regimeprobnet,0.9291543359899227,0.96633568250433,0.9467139124404224,0.9676516660525999,0.9332031322418579,0.96633568250433,0.9467139124404224,1.022116241598483,True,True,highly_skilful
