model,split,n,kge,crps,cov90,width90,winkler90,alpha_reliability,twcrps_q90
cmal,temporal,23420,0.9067385118951361,9.190454047966988,0.7539709649871904,38.6155905066461,76.57750233150782,0.8399658411614005,6.35002117544127
cmal,pur,11137,0.9302021442079402,25.8111657192537,0.8646852832899344,132.2488195386551,193.93538846142334,0.9591862389204582,13.518652914110447
regimeprobnet,temporal,23420,0.9043736723666005,9.475095857996342,0.6740392826643894,35.223951417738036,84.8500766930027,0.7471269976820788,6.394757524392016
regimeprobnet,pur,11137,0.9480459359243762,26.078549087448142,0.8076681332495286,124.49322174059017,204.90984702203306,0.8570325427468285,13.810176193638378
qrf,temporal,23420,0.8772263648920522,12.250636397470828,0.8649444918872758,72.43040215909595,99.0577713488693,0.9128217640600219,8.428152120561498
qrf,pur,11137,0.9190946205135148,38.81488196145011,0.8826434407829756,272.8287138424152,337.14001111583656,0.9800561833784425,20.31900116930799
