segment,exceed_lo,exceed_hi,n_gauges,pbias_raw,pbias,d_pbias_abs
very_high,0.0,0.02,74,-37.87012725005081,-23.696545072321776,14.173582177729031
high,0.02,0.2,74,-12.693585497235919,-8.264795716918654,4.428789780317265
mid,0.2,0.7,74,-5.845104318398839,-4.723330087181202,1.1217742312176373
low,0.7,1.0,74,6.936224988642075,10.513348949656258,-3.577123961014183
