model,split,n_gauges,ptd_median,ptd_mean,ptd_p90,ptd_median_raw,ptd_mean_raw,ptd_p90_raw,d_median_days
lgbm,temporal,74,13.891666666666666,21.498368485868486,46.66000000000001,24.916666666666664,31.193587606087604,60.281818181818196,11.024999999999999
catboost,temporal,74,14.061538461538461,22.311778049278054,47.500000000000014,24.916666666666664,31.193587606087604,60.281818181818196,10.855128205128203
xgb,temporal,74,14.125,21.904685254685255,43.723076923076924,24.916666666666664,31.193587606087604,60.281818181818196,10.791666666666664
ealstm,temporal,74,15.003205128205128,22.004076029076028,40.10879120879121,24.916666666666664,31.193587606087604,60.281818181818196,9.913461538461537
regimeprobnet,temporal,74,16.4125,24.752377464877462,54.677564102564126,24.916666666666664,31.193587606087604,60.281818181818196,8.504166666666663
scaling,temporal,74,19.148809523809526,28.05124605124605,57.72115384615385,24.916666666666664,31.193587606087604,60.281818181818196,5.767857142857139
qmap,temporal,74,24.916666666666664,31.085219622719627,60.281818181818196,24.916666666666664,31.193587606087604,60.281818181818196,0.0
