model,split,fold,code,basin,domain,n,kge,kge_raw,kge_ss,kge_ss_raw,nse,nse_raw,lognse,lognse_raw,pbias,pbias_raw,kge_r,kge_r_raw,kge_beta,kge_beta_raw,kge_gamma,kge_gamma_raw,peak_timing_err,peak_timing_err_raw,crps,crps_raw
scaling,temporal,,15102,CHU,core,379,-0.5115727303481441,-1.1349937293300565,-0.06884332788583726,-0.5096685438000392,-2.8767295871314364,-3.1794825983278248,-58.53582266700692,-97.29339797604489,-15.998807454117884,-24.982994508083603,0.268618132793619,0.5376481699839201,0.8400119254588211,0.7501700549191641,2.3131399390234297,3.0693027830891135,115.42857142857143,34.214285714285715,,
scaling,temporal,,15149,CHU,core,368,0.5531041530495828,-0.04768102110562711,0.6839969161372546,0.2591776454557647,-0.269265770353329,-5.105685980870681,-1.8841164203713405,-10.709046956719721,26.34403720077291,75.23146861632713,0.6530324163804748,0.8629684382656027,1.2634403720077292,1.7523146861632715,1.0996421815055637,1.7161567468484953,71.6923076923077,34.92307692307692,,
scaling,temporal,,15171,CHU,core,301,0.8139798513879652,0.7348426306674515,0.8684638914791009,0.812505426063369,0.7292997748832966,0.6761144424116627,0.722478352406708,0.0048286388479242826,-12.666686789795852,-19.56052811571492,0.8666836942347194,0.8526494526550135,0.8733331321020416,0.8043947188428507,1.028031462388945,1.1016603201447006,9.5,8.666666666666666,,
scaling,temporal,,15189,CHU,core,371,0.7901860706795865,0.385325747773518,0.8516391477901406,0.5653596680298844,0.5533826686243566,0.5254597432536384,0.4941165206644734,-2.624994264414211,9.081221236924124,-12.73898697955946,0.8265502392625809,0.8903626261259657,1.0908122123692412,0.8726101302044054,1.0754334642026162,1.5912494428527197,9.615384615384615,34.38461538461539,,
scaling,temporal,,15194,CHU,core,397,0.621534434210973,0.2377223076986431,0.7323844319849756,0.46098827462647807,0.35684046590677054,0.4920227612747238,-6.5862287665272,-11.013649260179395,-7.048997206110723,-29.072976337674096,0.7440125145197386,0.8500777990357649,0.9295100279388926,0.7092702366232589,1.2696993800592162,1.6885251037727134,53.53333333333333,38.666666666666664,,
scaling,temporal,,15212,CHU,core,296,0.3020376414026722,0.3979161756531764,0.5064660832228728,0.5742624449616309,-1.4988011988246024,0.4421409020005391,-9.335707433799803,-14.082433357760586,30.006103576932,-15.090248405505015,0.463460679970924,0.8398383153004634,1.30006103576932,0.84909751594495,1.3305153353394126,1.5604298409259791,76.16666666666667,48.083333333333336,,
scaling,temporal,,15214,CHU,core,393,0.7806316648886396,0.3558730462708639,0.8448831626651541,0.5445334630730944,0.5649962542055595,0.38873187030545,-3.0528125580783225,-8.627863152821941,1.5676726469970248,-15.912249311669251,0.8174201104331713,0.8290953499028235,1.0156767264699704,0.8408775068833075,1.1205872738827796,1.6003092247166175,34.666666666666664,37.8,,
scaling,temporal,,15215,CHU,core,301,0.8692634269908672,0.7662462898923561,0.907555282676152,0.8347111664553706,0.7476091907631564,0.7379431811051653,0.7166322222641934,-0.29601601811356915,6.201652525448142,-12.777403924743453,0.8939356731742332,0.8806342031073644,1.0620165252544813,0.8722259607525654,1.0446806523288268,1.1551334857974562,37.833333333333336,37.0,,
scaling,temporal,,15256,TALAS,core,402,0.7151299215834519,0.38641009723029107,0.7985664357945153,0.5661264188839444,0.6377020370533051,0.5145588226318717,0.741362254216895,-0.47807652452585847,-14.44503345806669,-27.249610108374497,0.8401409890904254,0.8474095234014517,0.8555496654193333,0.7275038989162551,1.1863602936453908,1.5281615189755178,7.0,35.0,,
scaling,temporal,,15259,TALAS,core,399,0.6994543975423485,0.37574317331198515,0.7874821664463982,0.5585837646469094,0.551852727015703,-1.2157481821728027,0.41462224316674523,-1.331988004089542,-12.267248505984208,36.07022361163095,0.7669411691055066,0.7544411303830705,0.8773275149401576,1.3607022361163092,0.8552149803744623,1.4464205686118643,13.0,30.5,,
scaling,temporal,,15261,TALAS,core,402,0.3213911847677281,-0.007977369055691907,0.5201511049762917,0.28725236705814505,-0.007245743202153543,-2.8273029175027955,-0.005676637460615419,-2.0135216186152274,-3.3139646552479713,21.096401307798235,0.3656207216205301,0.12969053724827223,0.9668603534475202,1.2109640130779822,0.7613064326378538,1.4626813166308603,83.6923076923077,70.38461538461539,,
scaling,temporal,,15283,TALAS,core,381,0.8238728990933857,0.6751847194222591,0.8754593325982057,0.7703209124704683,0.8259574969317005,0.6590623423375565,0.7484827950264006,0.4864087212171294,-14.180081569429568,-30.213276848419078,0.9306696759555678,0.9054494174639528,0.8581991843057045,0.6978672315158094,0.9218553232133168,0.9273298957825903,10.166666666666666,9.333333333333334,,
scaling,temporal,,15285,TALAS,core,381,0.8792767346133394,0.7280976164022757,0.9146357603981091,0.8077359807372633,0.8155272906549573,0.6801883020882606,0.8901710510723442,0.7153844565227419,-6.468069254768325,-9.443518674309754,0.9055136530261585,0.837666566006643,0.9353193074523168,0.9055648132569026,0.9617528425538707,0.8033766089224256,17.666666666666668,10.916666666666666,,
scaling,temporal,,15287,TALAS,core,380,0.7861611143286913,0.7353488542818749,0.8487930738604428,0.8128633802139247,0.5977318592801251,0.6194603945234187,0.46013002709095463,0.3703524478314165,-5.395526321504146,-15.275937224369319,0.7943760891620297,0.8037979537518454,0.9460447367849583,0.8472406277563066,1.0231237083583289,0.9093933767891884,10.833333333333334,10.0,,
scaling,temporal,,16093,NARYN,core,156,0.9334099694967687,0.6783861855728106,0.952913737871746,0.7725846908952625,0.8828750146790489,0.7407080781966799,0.7911072158370225,0.6008078254629285,-2.9099601852623747,8.320784503011659,0.9403439579306213,0.8688429453026569,0.9709003981473763,1.0832078450301166,0.9946519181890534,0.718380172645872,8.2,8.2,,
scaling,temporal,,16096,NARYN,core,320,0.9007591128570396,0.5940534616365957,0.9298260957302439,0.7129524499240317,0.8247102728070299,0.49424247304848234,0.9108061851196517,0.6237853855377702,-4.127695355398586,-32.92440723631977,0.9110868189217997,0.7913117008678566,0.9587230464460141,0.6707559276368024,1.0154729769850228,0.8866857174568826,42.916666666666664,50.5,,
scaling,temporal,,16100,NARYN,core,133,0.8375894525488365,0.6463657671043416,0.8851584005610628,0.7499428358597771,0.8624161438453068,0.5701696520403434,0.8883512986536437,0.6437387430193258,-15.43282983727759,16.508548844196582,0.9506400142706732,0.7847920480172781,0.845671701627224,1.1650854884419657,0.9888845128963804,0.7730870440345443,2.857142857142857,1.4285714285714286,,
scaling,temporal,,16101,SYR_DARYA,core,115,0.8882360808453678,0.6177884302705322,0.9209709748737744,0.7297356071963385,0.8673394640287185,0.7354113311538025,0.8632801667781624,0.17065688605246132,7.024942512385274,-22.023286754583005,0.9414141752239743,0.9442068015614934,1.0702494251238528,0.77976713245417,0.9357824554355728,1.3073601911367283,10.333333333333334,57.333333333333336,,
scaling,temporal,,16105,NARYN,core,418,0.6079904577610733,0.5412067706366082,0.7228073943930207,0.6755841963546706,0.3091658119843469,-0.35198300763143786,0.41598496033935695,0.31743200327446364,0.868088166016183,20.117995092235386,0.6225653349978679,0.6692178152862975,1.0086808816601616,1.2011799509223537,0.8944576049414097,1.2461727054988008,24.833333333333332,15.416666666666666,,
scaling,temporal,,16107,SYR_DARYA,core,141,0.5391568368960201,0.2281469774207765,0.6741346743057177,0.4542174936548977,0.10740111430593147,0.004648754031826963,0.6606632674430503,-2.2858157288391716,13.681408502972813,-68.94368836982595,0.8417423750914693,0.8528818112826251,1.1368140850297281,0.3105631163017405,1.410624952085806,1.3143089410271918,30.6,46.8,,
scaling,temporal,,16121,SYR_DARYA,core,370,0.7322214636993644,0.3354654087105067,0.8106519811256125,0.5301030841661685,0.6043501169154959,0.09731055533477506,0.6010091822492993,-1.0457837838303914,-17.099481145500395,-62.149779741043005,0.7972960204072496,0.7729102051628515,0.8290051885449962,0.37850220258956996,1.0371108557707893,1.0614567808715998,31.416666666666668,41.5,,
scaling,temporal,,16124,SYR_DARYA,core,218,0.7081144859247102,0.5596962078122273,0.793605773667241,0.6886582027618735,0.3947222820428252,0.40195250932864934,0.7526293744922045,0.3767650765401346,22.9685755163487,-31.85273861196777,0.870390501880467,0.7717854792060922,1.229685755163487,0.6814726138803223,1.1250719201067039,1.2008130130382644,12.666666666666666,13.416666666666666,,
scaling,temporal,,16127,SYR_DARYA,core,334,0.4644339646673673,0.4222617753616641,0.6212976246431013,0.5914773836075558,0.21139603588159228,-0.24150333548413982,0.5526516341639166,0.2837809757540133,51.91766996090318,35.285126478151184,0.8722165173466463,0.5517985687812832,1.5191766996090317,1.3528512647815116,0.9690498086279259,0.9083871286126356,45.9,49.9,,
scaling,temporal,,16133,SYR_DARYA,core,141,0.6240508114503647,0.5016881488526854,0.7341637793949729,0.6476403109081124,0.07964583776381029,-0.3287602708198809,0.3451622937696206,-0.501971266269452,26.402410791596168,13.952436492858505,0.7492894766868525,0.5542613754263372,1.2640241079159618,1.1395243649285853,1.0936658759119753,1.173679967608005,18.714285714285715,32.142857142857146,,
scaling,temporal,,16134,SYR_DARYA,core,364,0.5696401000615698,0.12679790114370182,0.695689596402772,0.38255287455238557,0.3587052054552169,-2.7822084993781444,0.08662658965586978,-0.47741647996399994,-9.954026751433288,59.81223660749601,0.755547949880824,0.43451841726620744,0.9004597324856674,1.5981223660749602,1.3399184811255818,1.291482624245118,37.81818181818182,23.0,,
scaling,temporal,,16135,SYR_DARYA,core,132,0.6905094401530836,0.15407986183115374,0.7811571264190244,0.4018441339585476,0.7096457848164714,-1.5540709217866913,-0.16660021158738236,-0.28250093597330883,-24.314170088460994,72.54256014259884,0.8614194857980315,0.5691078018838295,0.7568582991153899,1.7254256014259883,1.1321437134668713,1.0605845735972275,32.333333333333336,91.66666666666667,,
scaling,temporal,,16136,SYR_DARYA,core,415,0.7724167017521119,0.7438915324684487,0.8390743065241179,0.8189039658891454,0.6294394207004961,0.5933294968299669,0.7087939394886527,0.6183848230089175,-4.21826922242805,-16.720660456506078,0.8393975366086946,0.8073862096233508,0.9578173077757196,0.8327933954349392,1.1556329877331386,1.0230960232058095,39.84615384615385,46.0,,
scaling,temporal,,16137,SYR_DARYA,core,151,0.7598589244239897,0.5993908761752387,0.830194617018772,0.71672657193831,0.718286773991709,0.5289417750543735,0.6653459839234046,0.1676221711541659,-1.2339014956928016,-5.786733952681449,0.8488010110902163,0.7325568092942787,0.9876609850430722,0.9421326604731857,0.8138432095212348,0.7074026984866838,20.2,20.4,,
scaling,temporal,,16139,SYR_DARYA,core,350,0.7870482251799342,0.03230958411820384,0.8494203559590208,0.3157395448407516,0.7337306698685098,-0.321515335137317,0.7999316860667727,-0.5780508830529296,-14.081895408125627,54.27197235900743,0.8680344981819276,0.3394875800219814,0.8591810459187439,1.5427197235900745,0.9099800749812498,0.5465649046769996,11.818181818181818,64.0,,
scaling,temporal,,16143,SYR_DARYA,core,416,0.6349973091948022,0.2466587025867537,0.741904122180308,0.46730726005122186,0.5366267273004774,0.3650365671602517,0.21301965986203786,-0.950731227639626,-18.28861462263863,-58.78360922566973,0.7801818268893568,0.8031146370728637,0.8171138537736138,0.41216390774330275,1.2268470687132522,1.4280280281636926,49.61538461538461,33.53846153846154,,
