model,split,n_gauges,kge_raw,kge,d_kge,nse,pbias_raw,pbias,peak_timing_err,crps
catboost,temporal,2,0.033,0.776,0.742,0.665,-82.275,-14.637,22.571,
ealstm,temporal,2,0.033,0.826,0.793,0.728,-82.275,-10.18,22.257,
lgbm,temporal,2,0.033,0.789,0.756,0.681,-82.275,-13.576,23.033,
qmap,temporal,2,0.033,0.581,0.548,0.283,-82.275,-12.432,23.602,
regimeprobnet,temporal,2,0.033,0.822,0.789,0.688,-82.275,-7.071,21.612,16.31
scaling,temporal,2,0.033,0.328,0.295,-0.168,-82.275,-9.421,18.543,
xgb,temporal,2,0.033,0.789,0.756,0.684,-82.275,-13.923,22.538,
