model,split,n_gauges,kge_raw,kge,d_kge,nse,pbias_raw,pbias,peak_timing_err,crps
diffsnow,pur,14,0.395,0.364,-0.028,-1.018,-10.199,22.445,26.275,
diffsnow,temporal,74,0.386,0.507,0.051,0.31,-12.758,-7.682,25.492,
gen_resid,pur,14,0.395,-0.375,-0.688,-4.378,-10.199,134.351,18.91,134.208
gen_resid,temporal,74,0.386,0.79,0.41,0.751,-12.758,-10.162,14.655,2.818
regimeprobnet,pur,14,0.395,0.264,-0.084,-0.837,-10.199,21.452,16.28,64.801
regimeprobnet,temporal,74,0.386,0.803,0.431,0.745,-12.758,-10.089,14.55,2.884
